Region,Quarter,Sales,Orders,Customers,Profit,Year
North,2025-Q1,120000,1200,900,18000,2025
South,2025-Q1,105000,1100,820,15000,2025
East,2025-Q1,90000,950,700,12000,2025
West,2025-Q1,115000,1180,860,17000,2025
North,2025-Q2,132000,1290,960,20500,2025
South,2025-Q2,111000,1140,850,16200,2025
East,2025-Q2,101000,1010,750,13800,2025
West,2025-Q2,121000,1210,900,18000,2025
North,2025-Q3,140000,1360,1000,22400,2025
South,2025-Q3,118000,1190,880,17400,2025
East,2025-Q3,109000,1080,790,15100,2025
West,2025-Q3,128000,1260,930,19400,2025
North,2025-Q4,150000,1450,1060,24200,2025
South,2025-Q4,125000,1250,920,18500,2025
East,2025-Q4,116000,1140,830,16200,2025
West,2025-Q4,136000,1330,980,20800,2025
North,2026-Q1,165000,1580,1140,27000,2026
South,2026-Q1,137000,1360,1000,20900,2026
East,2026-Q1,129000,1260,920,19350,2026
West,2026-Q1,151000,1480,1080,23200,2026
